"","EvseID","ChargingStationId","Accessibility","latitude","longitude","City","Country","PostalCode","Street","IsOpen24Hours","LastUpdate","DynamicInfoAvailable","DynamicPowerLevel","ChargingFacility_power","ChargingFacility_powertype"
"6449","CH*CCI*E20353","CH*CCI*E20353","Paying publicly accessible",47.09311,7.572529,"Kirchberg","CHE","3422","Industrie Neuhof 1a",TRUE,NA,"true","",50,"DC"
"6450","CH*CCI*E21203","CH*CCI*E21203","Paying publicly accessible",47.55261,7.53957,"Allschwil","CHE","4123","Baslerstrasse 49",TRUE,NA,"true","",22,"AC_3_PHASE"
"6451","CH*CCI*E20356","CH*CCI*E20356","Paying publicly accessible",47.398858,7.654121,"Bretzwil","CHE","4207","Kirchgasse 3",TRUE,NA,"true","",22,"AC_3_PHASE"
"6452","CH*CCI*E21202","CH*CCI*E21202","Paying publicly accessible",47.07293,9.197767,"Murg","CHE","8877","Murgtalstrasse",TRUE,NA,"true","",22,"AC_3_PHASE"
"6453","CH*CCI*E20355","CH*CCI*E20355","Paying publicly accessible",47.408698,7.594472,"Nunningen","CHE","4208","Eichelbergstrasse 6",TRUE,NA,"true","",22,"AC_3_PHASE"
"6454","CH*CCC*E50558","CH*CCC*E50558","Paying publicly accessible",46.95507,6.847463,"Areuse","CHE","2015","Route du Vignoble 25",TRUE,NA,"true","",150,"DC"
"6455","CH*CCC*E50559","CH*CCC*E50559","Paying publicly accessible",47.352935,8.713364,"Uster","CHE","8610","Bankstrasse 44",TRUE,NA,"true","",20,"DC"
"6456","CH*CCC*E50554","CH*CCC*E50554","Paying publicly accessible",46.95507,6.847463,"Areuse","CHE","2015","Route du Vignoble 25",TRUE,NA,"true","",150,"DC"
"6457","CH*CCC*E50555","CH*CCC*E50555","Paying publicly accessible",46.95507,6.847463,"Areuse","CHE","2015","Route du Vignoble 25",TRUE,NA,"true","",150,"DC"
"6458","CH*CCC*E50556","CH*CCC*E50556","Paying publicly accessible",46.95507,6.847463,"Areuse","CHE","2015","Route du Vignoble 25",TRUE,NA,"true","",150,"DC"
"6459","CH*CCC*E50557","CH*CCC*E50557","Paying publicly accessible",46.95507,6.847463,"Areuse","CHE","2015","Route du Vignoble 25",TRUE,NA,"true","",150,"DC"
"6460","CH*CCI*E21678","CH*CCI*E21678","Paying publicly accessible",46.921923,7.113164,"Murten","CHE","3280","Irisweg 12",TRUE,NA,"true","",22,"AC_3_PHASE"
"6461","CH*CCC*E50572","CH*CCC*E50572","Paying publicly accessible",47.04339,8.349767,"Luzern","CHE","6006","Seeburgstrasse 72",TRUE,NA,"true","",50,"DC"
"6462","CH*CCI*E21677","CH*CCI*E21677","Paying publicly accessible",46.929343,7.119326,"Murten","CHE","3280","Bernstrasse 3",TRUE,NA,"true","",22,"AC_3_PHASE"
"6463","CH*CCC*E50573","CH*CCC*E50573","Paying publicly accessible",47.04339,8.349767,"Luzern","CHE","6006","Seeburgstrasse 72",TRUE,NA,"true","",50,"DC"
"6464","CH*CCI*E20346","CH*CCI*E20346","Paying publicly accessible",47.181167,7.557286,"Biberist","CHE","4562","Bleichenmattstrasse, AFEG Areal .",TRUE,NA,"true","",22,"AC_3_PHASE"
"6465","CH*CCC*E50574","CH*CCC*E50574","Paying publicly accessible",47.429519,8.236032,"Birr","CHE","5242","Rastplatz Birrhard",TRUE,NA,"true","",200,"DC"
"6466","CH*CCI*E21679","CH*CCI*E21679","Paying publicly accessible",46.921923,7.113164,"Murten","CHE","3280","Irisweg 12",TRUE,NA,"true","",22,"AC_3_PHASE"
"6467","CH*CCC*E50575","CH*CCC*E50575","Paying publicly accessible",47.429519,8.236032,"Birr","CHE","5242","Rastplatz Birrhard",TRUE,NA,"true","",200,"DC"
"6468","CH*CCC*E50571","CH*CCC*E50571","Paying publicly accessible",47.04339,8.349767,"Luzern","CHE","6006","Seeburgstrasse 72",TRUE,NA,"true","",22,"AC_3_PHASE"
"6469","CH*CCI*E21670","CH*CCI*E21670","Paying publicly accessible",46.782161,7.096423,"Matran","CHE","1753","Rte de la Sablière 1",TRUE,NA,"true","",11,"AC_3_PHASE"
"6470","CH*CCI*E21672","CH*CCI*E21672","Paying publicly accessible",46.56823,6.552573,"Mex","CHE","1031","Route de Faraz 3",TRUE,NA,"true","",50,"DC"
"6471","CH*CCI*E21671","CH*CCI*E21671","Paying publicly accessible",46.56823,6.552573,"Mex","CHE","1031","Route de Faraz 3",TRUE,NA,"true","",50,"DC"
